DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT UPS
Next Day Air Letter,All,0.755
Next Day Air Package,All,0.757
Next Day Air Saver Letter,All,0.755
Next Day Air Saver Package,All,0.756
2nd Day AM Letter,All,0.666
2nd Day AM Package,All,0.698
2nd Day Air Letter,All,0.666
2nd Day Air Package,All,0.703
3 Day Select Package,All,0.623
Next Day Air CWT,All,0.367
Next Day Air Saver CWT,All,0.367
2nd Day Air AM CWT,All,0.367
2nd Day Air CWT,All,0.367
3 Day Select CWT,All,0.367
Ground CWT,Discount,0.345
Ground Freight Pricing,All,0
Ground Commercial,1-5 lbs,0.504
Ground Commercial,6-10 lbs,0.514
Ground Commercial,11-20 lbs,0.564
Ground Commercial,21-30 lbs,0.584
Ground Commercial,31-50 lbs,0.604
Ground Commercial,51-70 lbs,0.604
Ground Commercial,71-150 lbs,0.604
Ground Commercial,151 lbs+,0.604
Ground Residential,1-5 lbs,0.476
Ground Residential,6-10 lbs,0.485
Ground Residential,11-20 lbs,0.536
Ground Residential,21-30 lbs,0.556
Ground Residential,31-50 lbs,0.576
Ground Residential,51-70 lbs,0.576
Ground Residential,71-150 lbs,0.576
Ground Residential,151 lbs+,0.576
SurePost,1 - 16 OZ,0.359
SurePost,1 - 9 LBS,0.359
SurePost,10+ LBS,0.039
Export WW Express Letter,All,0.81
Export WW Express Doc,All,0.81
Export WW Express Pak,All,0.81
Export WW Express Package,All,0.81
Export WW Saver Letter,All,0.81
Export WW Saver Doc,All,0.81
Export WW Saver Pak,All,0.81
Export WW Saver Package,All,0.81
Export WW Expedited Doc,All,0.81
Export WW Expedited Package,All,0.81
Import WW Express Letter,All,0.79
Import WW Express Doc,All,0.79
Import WW Express Package,All,0.79
Import WW Saver Letter,All,0.79
Import WW Saver Doc,All,0.79
Import WW Saver Package,All,0.79
Import WW Expedited Package,All,0.79
Export Standard to Canada,All,0.233
Export Standard to Mexico,All,0.233
Import Standard from Canada,All,0.233
Import Standard from Mexico,All,0.233
DAS Comm,Air,0.4
DAS Ext Comm,Air,0.4
DAS Resi,Air,0.4
DAS Ext Resi,Air,0.4
DAS Comm,Ground,0.4
DAS Ext Comm,Ground,0.4
DAS Resi,Ground,0.4
DAS Ext Resi,Ground,0.4
Residential Fee,Air,0.4
Residential Fee,Ground,0.45
