DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT UPS
Next Day Air Letter,All,0.776
Next Day Air Package,All,0.769
Next Day Air Saver Letter,All,0.804
Next Day Air Saver Package,All,0.819
2nd Day AM Letter,All,0
2nd Day AM Package,All,0
2nd Day Air Letter,All,0.748
2nd Day Air Package,All,0.764
3 Day Select Package,All,0.739
Next Day Air CWT,All,0.46
Next Day Air Saver CWT,All,0.46
2nd Day Air AM CWT,All,0.46
2nd Day Air CWT,All,0.46
3 Day Select CWT,All,0.46
Ground CWT,Discount,0.463
Ground Freight Pricing,All,0
Ground Commercial,1-5 lbs,0.608
Ground Commercial,6-10 lbs,0.623
Ground Commercial,11-20 lbs,0.638
Ground Commercial,21-30 lbs,0.679
Ground Commercial,31-50 lbs,0.679
Ground Commercial,51-70 lbs,0.679
Ground Commercial,71-150 lbs,0.679
Ground Commercial,151 lbs+,0.679
Ground Residential,1-5 lbs,0.609
Ground Residential,6-10 lbs,0.624
Ground Residential,11-20 lbs,0.639
Ground Residential,21-30 lbs,0.68
Ground Residential,31-50 lbs,0.68
Ground Residential,51-70 lbs,0.68
Ground Residential,71-150 lbs,0.68
Ground Residential,151 lbs+,0.68
SurePost,1 - 16 OZ,0
SurePost,1 - 9 LBS,0.544
SurePost,10+ LBS,0.154
Export WW Express Letter,All,0.706
Export WW Express Doc,All,0.706
Export WW Express Pak,All,0.706
Export WW Express Package,All,0.775
Export WW Saver Letter,All,0.706
Export WW Saver Doc,All,0.706
Export WW Saver Pak,All,0.706
Export WW Saver Package,All,0.775
Export WW Expedited Doc,All,0.706
Export WW Expedited Package,All,0.716
Import WW Express Letter,All,0.606
Import WW Express Doc,All,0.606
Import WW Express Package,All,0.606
Import WW Saver Letter,All,0.606
Import WW Saver Doc,All,0.606
Import WW Saver Package,All,0.606
Import WW Expedited Package,All,0.606
Export Standard to Canada,All,0.55
Export Standard to Mexico,All,0.55
Import Standard from Canada,All,0.25
Import Standard from Mexico,All,0.25
DAS Comm,Air,0.35
DAS Ext Comm,Air,0.35
DAS Resi,Air,0.35
DAS Ext Resi,Air,0.35
DAS Comm,Ground,0.5
DAS Ext Comm,Ground,0.5
DAS Resi,Ground,0.5
DAS Ext Resi,Ground,0.5
Residential Fee,Air,0.62
Residential Fee,Ground,0.62
