DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT UPS
Next Day Air Letter,All,0.677
Next Day Air Package,All,0.769
Next Day Air Saver Letter,All,0.679
Next Day Air Saver Package,All,0.769
2nd Day AM Letter,All,0.554
2nd Day AM Package,All,0.559
2nd Day Air Letter,All,0.629
2nd Day Air Package,All,0.621
3 Day Select Package,All,0.622
Next Day Air CWT,All,0.35
Next Day Air Saver CWT,All,0.35
2nd Day Air AM CWT,All,0.35
2nd Day Air CWT,All,0.35
3 Day Select CWT,All,0.35
Ground CWT,Discount,0.25
Ground Freight Pricing,All,0
Ground Commercial,1-5 lbs,0.45
Ground Commercial,6-10 lbs,0.48
Ground Commercial,11-20 lbs,0.495
Ground Commercial,21-30 lbs,0.52
Ground Commercial,31-50 lbs,0.54
Ground Commercial,51-70 lbs,0.54
Ground Commercial,71-150 lbs,0.54
Ground Commercial,151 lbs+,0.54
Ground Residential,1-5 lbs,0.432
Ground Residential,6-10 lbs,0.462
Ground Residential,11-20 lbs,0.477
Ground Residential,21-30 lbs,0.502
Ground Residential,31-50 lbs,0.522
Ground Residential,51-70 lbs,0.522
Ground Residential,71-150 lbs,0.522
Ground Residential,151 lbs+,0.522
SurePost,1 - 16 OZ,0
SurePost,1 - 9 LBS,0
SurePost,10+ LBS,0
Export WW Express Letter,All,0.685
Export WW Express Doc,All,0.69
Export WW Express Pak,All,0.692
Export WW Express Package,All,0.69
Export WW Saver Letter,All,0.685
Export WW Saver Doc,All,0.694
Export WW Saver Pak,All,0.691
Export WW Saver Package,All,0.696
Export WW Expedited Doc,All,0.692
Export WW Expedited Package,All,0.692
Import WW Express Letter,All,0.692
Import WW Express Doc,All,0.692
Import WW Express Package,All,0.697
Import WW Saver Letter,All,0.692
Import WW Saver Doc,All,0.692
Import WW Saver Package,All,0.694
Import WW Expedited Package,All,0.694
Export Standard to Canada,All,0.367
Export Standard to Mexico,All,0.367
Import Standard from Canada,All,0.364
Import Standard from Mexico,All,0.364
DAS Comm,Air,0
DAS Ext Comm,Air,0
DAS Resi,Air,0
DAS Ext Resi,Air,0
DAS Comm,Ground,0
DAS Ext Comm,Ground,0
DAS Resi,Ground,0
DAS Ext Resi,Ground,0
Residential Fee,Air,0.35
Residential Fee,Ground,0.35
