DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT UPS
Next Day Air Letter,All,0.737
Next Day Air Package,All,0.738
Next Day Air Saver Letter,All,0.734
Next Day Air Saver Package,All,0.737
2nd Day AM Letter,All,0.69
2nd Day AM Package,All,0.7
2nd Day Air Letter,All,0.7
2nd Day Air Package,All,0.7
3 Day Select Package,All,0.658
Next Day Air CWT,All,0
Next Day Air Saver CWT,All,0
2nd Day Air AM CWT,All,0
2nd Day Air CWT,All,0
3 Day Select CWT,All,0
Ground CWT,Discount,0.329
Ground Freight Pricing,All,0
Ground Commercial,1-5 lbs,0.616
Ground Commercial,6-10 lbs,0.626
Ground Commercial,11-20 lbs,0.641
Ground Commercial,21-30 lbs,0.651
Ground Commercial,31-50 lbs,0.651
Ground Commercial,51-70 lbs,0.651
Ground Commercial,71-150 lbs,0.651
Ground Commercial,151 lbs+,0.651
Ground Residential,1-5 lbs,0.55
Ground Residential,6-10 lbs,0.6
Ground Residential,11-20 lbs,0.6
Ground Residential,21-30 lbs,0.6
Ground Residential,31-50 lbs,0.6
Ground Residential,51-70 lbs,0.6
Ground Residential,71-150 lbs,0.6
Ground Residential,151 lbs+,0.6
SurePost,1 - 16 OZ,0.386
SurePost,1 - 9 LBS,0.415
SurePost,10+ LBS,0.065
Export WW Express Letter,All,0.639
Export WW Express Doc,All,0.639
Export WW Express Pak,All,0.639
Export WW Express Package,All,0.679
Export WW Saver Letter,All,0.639
Export WW Saver Doc,All,0.639
Export WW Saver Pak,All,0.639
Export WW Saver Package,All,0.689
Export WW Expedited Doc,All,0.639
Export WW Expedited Package,All,0.569
Import WW Express Letter,All,0.542
Import WW Express Doc,All,0.542
Import WW Express Package,All,0.542
Import WW Saver Letter,All,0.542
Import WW Saver Doc,All,0.542
Import WW Saver Package,All,0.542
Import WW Expedited Package,All,0.542
Export Standard to Canada,All,0.283
Export Standard to Mexico,All,0.283
Import Standard from Canada,All,0.283
Import Standard from Mexico,All,0.283
DAS Comm,Air,0.5
DAS Ext Comm,Air,0.5
DAS Resi,Air,0.5
DAS Ext Resi,Air,0.5
DAS Comm,Ground,0.5
DAS Ext Comm,Ground,0.5
DAS Resi,Ground,0.5
DAS Ext Resi,Ground,0.5
Residential Fee,Air,0.5
Residential Fee,Ground,0.5
