DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT FEDEX
Priority Overnight Letter,All,0.82
Priority Overnight Package,All,0.82
Standard Overnight Letter,All,0.82
Standard Overnight Package,All,0.82
2 Day AM Letter,All,0.527
2 Day AM Package,All,0.527
2 Day Air Letter,All,0.82
2 Day Air Package,All,0.82
Express Saver Package,All,0.82
Ground MWT,Discount,0.262
Ground Single Piece,1-5 lbs,0.642
Ground Single Piece,6-10 lbs,0.642
Ground Single Piece,11-20 lbs,0.642
Ground Single Piece,21-30 lbs,0.642
Ground Single Piece,31-50 lbs,0.719
Ground Single Piece,51-70 lbs,0.719
Ground Single Piece,71-150 lbs,0.719
Ground Single Piece,151 lbs+,0.719
Home Delivery,1-5 lbs,0.616
Home Delivery,6-10 lbs,0.616
Home Delivery,11-20 lbs,0.616
Home Delivery,21-30 lbs,0.616
Home Delivery,31-50 lbs,0.632
Home Delivery,51-70 lbs,0.632
Home Delivery,71-150 lbs,0.632
Home Delivery,151 lbs+,0.632
SmartPost,1 - 16 OZ,0.68
SmartPost,1 - 9 LBS,0.35
SmartPost,10+ LBS,0.25
Export Intl Priority Letter,All,0.85
Export Intl Priority Doc,All,0.85
Export Intl Priority Pak,All,0.85
Export Intl Priority Package,All,0.85
Export Intl Economy Doc,All,0.85
Export Intl Economy Package,All,0.85
Import Intl Priority Letter,All,0.69
Import Intl Priority Doc,All,0.69
Import Intl Priority Package,All,0.69
Import Intl Economy Doc,All,0.69
Import Intl Economy Package,All,0.69
Export Intl Ground,All,0.45
Import Intl Ground,All,0
DAS Comm,Air,0.6
DAS Ext Comm,Air,0.6
DAS Resi,Air,0.6
DAS Ext Resi,Air,0.6
DAS Comm,Ground,0.6
DAS Ext Comm,Ground,0.6
DAS Resi,HD,0.6
DAS Ext Resi,HD,0.6
DAS Comm - AK - HI,Air,0.15
DAS Resi - AK - HI,Air,0.15
Residential Fee,Air,0.6
Residential Fee,HD,0.6
