DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT FEDEX
Priority Overnight Letter,All,0.66
Priority Overnight Package,All,0.66
Standard Overnight Letter,All,0.66
Standard Overnight Package,All,0.66
2 Day AM Letter,All,0.46
2 Day AM Package,All,0.46
2 Day Air Letter,All,0.56
2 Day Air Package,All,0.56
Express Saver Package,All,0.56
Ground MWT,Discount,0.1
Ground Single Piece,1-5 lbs,0.29
Ground Single Piece,6-10 lbs,0.31
Ground Single Piece,11-20 lbs,0.39
Ground Single Piece,21-30 lbs,0.43
Ground Single Piece,31-50 lbs,0.44
Ground Single Piece,51-70 lbs,0.44
Ground Single Piece,71-150 lbs,0.44
Ground Single Piece,151 lbs+,0.44
Home Delivery,1-5 lbs,0
Home Delivery,6-10 lbs,0
Home Delivery,11-20 lbs,0
Home Delivery,21-30 lbs,0
Home Delivery,31-50 lbs,0
Home Delivery,51-70 lbs,0
Home Delivery,71-150 lbs,0
Home Delivery,151 lbs+,0
SmartPost,1 - 16 OZ,0
SmartPost,1 - 9 LBS,0.3
SmartPost,10+ LBS,0.115
Export Intl Priority Letter,All,0.8
Export Intl Priority Doc,All,0.8
Export Intl Priority Pak,All,0.85
Export Intl Priority Package,All,0.85
Export Intl Economy Doc,All,0.8
Export Intl Economy Package,All,0.85
Import Intl Priority Letter,All,0.51
Import Intl Priority Doc,All,0.51
Import Intl Priority Package,All,0.51
Import Intl Economy Doc,All,0.51
Import Intl Economy Package,All,0.51
Export Intl Ground,All,0
Import Intl Ground,All,0
DAS Comm,Air,0
DAS Ext Comm,Air,0
DAS Resi,Air,0
DAS Ext Resi,Air,0
DAS Comm,Ground,0
DAS Ext Comm,Ground,0
DAS Resi,HD,0
DAS Ext Resi,HD,0
Residential Fee,Air,0
Residential Fee,HD,0
