DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT FEDEX
Priority Overnight Letter,All,0.667
Priority Overnight Package,All,0.697
Standard Overnight Letter,All,0.667
Standard Overnight Package,All,0.697
2 Day AM Letter,All,0.5
2 Day AM Package,All,0.5
2 Day Air Letter,All,0.67
2 Day Air Package,All,0.67
Express Saver Package,All,0.67
Priority Overnight One Rate Envelope,All,0.45
Priority Overnight One Rate Pak,All,0.397
Standard Overnight One Rate Envelope,All,0.45
Standard Overnight One Rate Pak,All,0.397
2 Day One Rate Envelope,All,0.45
2 Day One Rate Pak,All,0.397
2 Day One Rate Small Box,All,0.3
2 Day One Rate Medium Box,All,0.3
2 Day One Rate Large Box,All,0.3
Ground MWT,Discount,0.15
Ground Single Piece,1-5 lbs,0.36
Ground Single Piece,6-10 lbs,0.4
Ground Single Piece,11-20 lbs,0.44
Ground Single Piece,21-30 lbs,0.48
Ground Single Piece,31-50 lbs,0.5
Ground Single Piece,51-70 lbs,0.5
Ground Single Piece,71-150 lbs,0.5
Ground Single Piece,151 lbs+,0.5
Ground Zones 9 & 17,All,0.1
Home Delivery,1-5 lbs,0.33
Home Delivery,6-10 lbs,0.35
Home Delivery,11-20 lbs,0.37
Home Delivery,21-30 lbs,0.39
Home Delivery,31-50 lbs,0.41
Home Delivery,51-70 lbs,0.41
Home Delivery,71-150 lbs,0.41
Home Delivery,151 lbs+,0.41
Ground Returns,1-5 lbs,0.22
Ground Returns,6-10 lbs,0.24
Ground Returns,11-20 lbs,0.26
Ground Returns,21-30 lbs,0.28
Ground Returns,31-50 lbs,0.3
Ground Returns,51-70 lbs,0.3
Ground Returns,71-150 lbs,0.3
Ground Returns,151 lbs+,0.3
SmartPost,1 - 16 OZ,0
SmartPost,1 - 9 LBS,0
SmartPost,10+ LBS,0
Export Intl Priority Letter,All,0.74
Export Intl Priority Doc,All,0.74
Export Intl Priority Pak,All,0.74
Export Intl Priority Package,1-154 lbs,0.74
Export Intl Priority Package,155+ lbs,0.64875
Export Intl Economy Doc,All,0
Export Intl Economy Package,1-154 lbs,0.74
Export Intl Economy Package,155+ lbs,0.5852499999999999
Import Intl Priority Letter,All,0.575
Import Intl Priority Doc,All,0.575
Import Intl Priority Package,All,0.625
Import Intl Economy Doc,All,0
Import Intl Economy Package,All,0.625
Export Intl Ground,All,0.35
Import Intl Ground,All,0.35
International Priority Envelope Third Party,All,0.37
International Priority Pak Third Party,All,0.38
International Priority Third Party,All,0.38
International Economy Third Party,All,0.38
DAS Comm,Air,0
DAS Ext Comm,Air,0
DAS Resi,Air,0
DAS Ext Resi,Air,0
DAS Comm,Ground,0
DAS Ext Comm,Ground,0
DAS Resi,HD,0
DAS Ext Resi,HD,0
DAS Commercial,OneRate,1
DAS Commercial Extended,OneRate,1
DAS Residential,OneRate,1
DAS Residential Extended,OneRate,1
Residential Fee,Air,0
Residential Fee,HD,0
