DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT FEDEX
Priority Overnight Letter,All,0.773
Priority Overnight Package,All,0.773
Standard Overnight Letter,All,0.773
Standard Overnight Package,All,0.773
2 Day AM Letter,All,0.518
2 Day AM Package,All,0.518
2 Day Air Letter,All,0.683
2 Day Air Package,All,0.683
Express Saver Package,All,0.653
Ground MWT,Discount,0.175
Ground Single Piece,1-5 lbs,0.486
Ground Single Piece,6-10 lbs,0.486
Ground Single Piece,11-20 lbs,0.556
Ground Single Piece,21-30 lbs,0.586
Ground Single Piece,31-50 lbs,0.586
Ground Single Piece,51-70 lbs,0.586
Ground Single Piece,71-150 lbs,0.586
Ground Single Piece,151 lbs+,0.586
Home Delivery,1-5 lbs,0.376
Home Delivery,6-10 lbs,0.426
Home Delivery,11-20 lbs,0.506
Home Delivery,21-30 lbs,0.526
Home Delivery,31-50 lbs,0.526
Home Delivery,51-70 lbs,0.526
Home Delivery,71-150 lbs,0.526
Home Delivery,151 lbs+,0.526
SmartPost,1 - 16 OZ,0
SmartPost,1 - 9 LBS,0
SmartPost,10+ LBS,0
Export Intl Priority Letter,All,0.7171
Export Intl Priority Doc,All,0.7171
Export Intl Priority Pak,All,0.7621
Export Intl Priority Package,All,0.8071
Export Intl Economy Doc,All,0.7371
Export Intl Economy Package,All,0.7371
Import Intl Priority Letter,All,0.72
Import Intl Priority Doc,All,0.72
Import Intl Priority Package,All,0.72
Import Intl Economy Doc,All,0.72
Import Intl Economy Package,All,0.72
Export Intl Ground,All,0.29
Import Intl Ground,All,0
DAS Comm,Air,0.5
DAS Ext Comm,Air,0.5
DAS Resi,Air,0.5
DAS Ext Resi,Air,0.5
DAS Comm,Ground,0.5
DAS Ext Comm,Ground,0.5
DAS Resi,HD,0.5
DAS Ext Resi,HD,0.5
Residential Fee,Air,0.25
Residential Fee,HD,0.25
