DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT FEDEX
Priority Overnight Letter,All,0.58
Priority Overnight Package,All,0.58
Standard Overnight Letter,All,0.58
Standard Overnight Package,All,0.58
2 Day AM Letter,All,0.5
2 Day AM Package,All,0.5
2 Day Air Letter,All,0.53
2 Day Air Package,All,0.53
Express Saver Package,All,0.53
Ground MWT,Discount,0
Ground Single Piece,1-5 lbs,0.327
Ground Single Piece,6-10 lbs,0.357
Ground Single Piece,11-20 lbs,0.387
Ground Single Piece,21-30 lbs,0.412
Ground Single Piece,31-50 lbs,0.437
Ground Single Piece,51-70 lbs,0.437
Ground Single Piece,71-150 lbs,0.437
Ground Single Piece,151 lbs+,0.437
Home Delivery,1-5 lbs,0.292
Home Delivery,6-10 lbs,0.321
Home Delivery,11-20 lbs,0.342
Home Delivery,21-30 lbs,0.362
Home Delivery,31-50 lbs,0.392
Home Delivery,51-70 lbs,0.392
Home Delivery,71-150 lbs,0.392
Home Delivery,151 lbs+,0.392
SmartPost,1 - 16 OZ,0
SmartPost,1 - 9 LBS,0.1
SmartPost,10+ LBS,0.1
Export Intl Priority Letter,All,0.7
Export Intl Priority Doc,All,0.7
Export Intl Priority Pak,All,0.7
Export Intl Priority Package,All,0.7
Export Intl Economy Doc,All,0.7
Export Intl Economy Package,All,0.7
Import Intl Priority Letter,All,0
Import Intl Priority Doc,All,0
Import Intl Priority Package,All,0
Import Intl Economy Doc,All,0
Import Intl Economy Package,All,0
Export Intl Ground,All,0
Import Intl Ground,All,0
DAS Comm,Air,0.25
DAS Ext Comm,Air,0.25
DAS Resi,Air,0.25
DAS Ext Resi,Air,0.25
DAS Comm,Ground,0.25
DAS Ext Comm,Ground,0.25
DAS Resi,HD,0.25
DAS Ext Resi,HD,0.25
Residential Fee,Air,0.25
Residential Fee,HD,0.25
