DOMESTIC AIR SERVICE LEVEL,WEIGHT RANGE,CURRENT FEDEX
Priority Overnight Letter,All,0.7889
Priority Overnight Package,All,0.7989
Standard Overnight Letter,All,0.7789
Standard Overnight Package,All,0.7789
2 Day AM Letter,All,0.521
2 Day AM Package,All,0.521
2 Day Air Letter,All,0.6689
2 Day Air Package,All,0.6689
Express Saver Package,All,0.5989
Ground MWT,Discount,0.37
Ground Single Piece,1-5 lbs,0.4788
Ground Single Piece,6-10 lbs,0.5288
Ground Single Piece,11-20 lbs,0.5988
Ground Single Piece,21-30 lbs,0.5988
Ground Single Piece,31-50 lbs,0.5988
Ground Single Piece,51-70 lbs,0.5988
Ground Single Piece,71-150 lbs,0.5988
Ground Single Piece,151 lbs+,0.5988
Home Delivery,1-5 lbs,0.4339
Home Delivery,6-10 lbs,0.4439
Home Delivery,11-20 lbs,0.4739
Home Delivery,21-30 lbs,0.4739
Home Delivery,31-50 lbs,0.4739
Home Delivery,51-70 lbs,0.4739
Home Delivery,71-150 lbs,0.4739
Home Delivery,151 lbs+,0.4739
SmartPost,1 - 16 OZ,0
SmartPost,1 - 9 LBS,0.15
SmartPost,10+ LBS,0.15
Export Intl Priority Letter,All,0.8455
Export Intl Priority Doc,All,0.8455
Export Intl Priority Pak,All,0.8455
Export Intl Priority Package,All,0.8455
Export Intl Economy Doc,All,0.8455
Export Intl Economy Package,All,0.8455
Import Intl Priority Letter,All,0.75
Import Intl Priority Doc,All,0.81
Import Intl Priority Package,All,0.81
Import Intl Economy Doc,All,0.795
Import Intl Economy Package,All,0.795
Export Intl Ground,All,0.05
Import Intl Ground,All,0
DAS Comm,Air,0.5
DAS Ext Comm,Air,0.5
DAS Resi,Air,0.25
DAS Ext Resi,Air,0.25
DAS Comm,Ground,0.5
DAS Ext Comm,Ground,0.5
DAS Resi,HD,0.5
DAS Ext Resi,HD,0.5
Residential Fee,Air,0.19
Residential Fee,HD,0.4
